"Kommun";"Antal fall 2020 v 01";"Antal fall 2020 v 02";"Antal fall 2020 v 03";"Antal fall 2020 v 04";"Antal fall 2020 v 05";"Antal fall 2020 v 06";"Antal fall 2020 v 07";"Antal fall 2020 v 08";"Antal fall 2020 v 09";"Antal fall 2020 v 10";"Antal fall 2020 v 11";"Antal fall 2020 v 12";"Antal fall 2020 v 13";"Antal fall 2020 v 14";"Antal fall 2020 v 15";"Antal fall 2020 v 16";"Antal fall 2020 v 17";"Antal fall 2020 v 18";"Antal fall 2020 v 19";"Antal fall 2020 v 20";"Antal fall 2020 v 21";"Antal fall 2020 v 22";"Antal fall 2020 v 23";"Antal fall 2020 v 24";"Antal fall 2020 v 25";"Antal fall 2020 v 26";"Antal fall 2020 v 27";"Antal fall 2020 v 28";"Antal fall 2020 v 29";"Antal fall 2020 v 30";"Antal fall 2020 v 31";"Antal fall 2020 v 32";"Antal fall 2020 v 33";"Antal fall 2020 v 34";"Antal fall 2020 v 35";"Antal fall 2020 v 36";"Antal fall 2020 v 37";"Antal fall 2020 v 38";"Antal fall 2020 v 39";"Antal fall 2020 v 40";"Antal fall 2020 v 41";"Antal fall 2020 v 42";"Antal fall 2020 v 43";"Antal fall 2020 v 44";"Antal fall 2020 v 45";"Antal fall 2020 v 46";"Antal fall 2020 v 47";"Antal fall 2020 v 48";"Antal fall 2020 v 49";"Antal fall 2020 v 50";"Antal fall 2020 v 51";"Antal fall 2020 v 52";"Antal fall 2020 v 53";"Antal fall 2021 v 01";"Antal fall 2021 v 02";"Antal fall 2021 v 03";"Antal fall 2021 v 04";"Antal fall 2021 v 05";"Antal fall 2021 v 06";"Antal fall 2021 v 07";"Antal fall 2021 v 08";"Antal fall 2021 v 09";"Antal fall 2021 v 10";"Antal fall 2021 v 11";"Antal fall 2021 v 12";"Antal fall 2021 v 13";"Antal fall 2021 v 14";"Antal fall 2021 v 15";"Antal fall 2021 v 16";"Antal fall 2021 v 17";"Antal fall 2021 v 18";"Antal fall 2021 v 19";"Antal fall 2021 v 20";"Antal fall 2021 v 21";"Antal fall 2021 v 22";"Antal fall 2021 v 23";"Antal fall 2021 v 24";"Antal fall 2021 v 25";"Antal fall 2021 v 26";"Antal fall 2021 v 27";"Antal fall 2021 v 28";"Antal fall 2021 v 29";"Antal fall 2021 v 30";"Antal fall 2021 v 31";"Antal fall 2021 v 32";"Antal fall 2021 v 33";"Antal fall 2021 v 34";"Antal fall 2021 v 35";"Antal fall 2021 v 36";"Antal fall 2021 v 37";"Antal fall 2021 v 38";"Antal fall 2021 v 39";"Antal fall 2021 v 40";"Antal fall 2021 v 41";"Antal fall 2021 v 42";"Antal fall 2021 v 43";"Antal fall 2021 v 44";"Antal fall 2021 v 45";"Antal fall 2021 v 46";"Antal fall 2021 v 47";"Antal fall 2021 v 48";"Antal fall 2021 v 49";"Antal fall 2021 v 50";"Antal fall 2021 v 51";"Antal fall 2021 v 52";"Antal fall 2022 v 01";"Antal fall 2022 v 02";"Antal fall 2022 v 03";"Antal fall 2022 v 04";"Antal fall 2022 v 05";"Antal fall 2022 v 06";"Antal fall 2022 v 07";"Antal fall 2022 v 08";"Antal fall 2022 v 09";"Antal fall 2022 v 10";"Antal fall 2022 v 11";"Antal fall 2022 v 12";"Antal fall 2022 v 13";"Antal fall 2022 v 14";"Antal fall 2022 v 15";"Antal fall 2022 v 16";"Antal fall 2022 v 17";"Antal fall 2022 v 18";"Antal fall 2022 v 19";"Antal fall 2022 v 20";"Antal fall 2022 v 21";"Antal fall 2022 v 22";"Antal fall 2022 v 23";"Antal fall 2022 v 24";"Antal fall 2022 v 25";"Antal fall 2022 v 26";"Antal fall 2022 v 27";"Antal fall 2022 v 28";"Antal fall 2022 v 29";"Antal fall 2022 v 30";"Antal fall 2022 v 31";"Antal fall 2022 v 32";"Antal fall 2022 v 33";"Antal fall 2022 v 34";"Antal fall 2022 v 35";"Antal fall 2022 v 36";"Antal fall 2022 v 37";"Antal fall 2022 v 38";"Antal fall 2022 v 39";"Antal fall 2022 v 40";"Antal fall 2022 v 41";"Antal fall 2022 v 42";"Antal fall 2022 v 43";"Antal fall 2022 v 44";"Antal fall 2022 v 45";"Antal fall 2022 v 46";"Antal fall 2022 v 47";"Antal fall 2022 v 48";"Antal fall 2022 v 49";"Antal fall 2022 v 50";"Antal fall 2022 v 51";"Antal fall 2022 v 52";"Antal fall 2023 v 01";"Antal fall 2023 v 02";"Antal fall 2023 v 03";"Antal fall 2023 v 04";"Antal fall 2023 v 05";"Antal fall 2023 v 06";"Antal fall 2023 v 07";"Antal fall 2023 v 08";"Antal fall 2023 v 09";"Antal fall 2023 v 10";"Antal fall 2023 v 11";"Antal fall 2023 v 12";"Antal fall 2023 v 13";"Antal fall 2023 v 14";"Antal fall 2023 v 15";"Antal fall 2023 v 16";"Antal fall 2023 v 17";"Antal fall 2023 v 18";"Antal fall 2023 v 19";"Antal fall 2023 v 20";"Antal fall 2023 v 21";"Antal fall 2023 v 22";"Antal fall 2023 v 23";"Antal fall 2023 v 24";"Antal fall 2023 v 25";"Antal fall 2023 v 26";"Antal fall 2023 v 27";"Antal fall 2023 v 28";"Antal fall 2023 v 29";"Antal fall 2023 v 30";"Antal fall 2023 v 31";"Antal fall 2023 v 32";"Antal fall 2023 v 33";"Antal fall 2023 v 34";"Antal fall 2023 v 35";"Antal fall 2023 v 36";"Antal fall 2023 v 37";"Antal fall 2023 v 38";"Antal fall 2023 v 39";"Antal fall 2023 v 40";"Antal fall 2023 v 41";"Antal fall 2023 v 42";"Antal fall 2023 v 43";"Antal fall 2023 v 44";"Antal fall 2023 v 45";"Antal fall 2023 v 46";"Antal fall 2023 v 47";"Antal fall 2023 v 48";"Antal fall 2023 v 49";"Antal fall 2023 v 50";"Antal fall 2023 v 51";"Antal fall 2023 v 52";"Antal fall 2024 v 01";"Antal fall 2024 v 02";"Antal fall 2024 v 03";"Antal fall 2024 v 04";"Antal fall 2024 v 05";"Antal fall 2024 v 06";"Antal fall 2024 v 07";"Antal fall 2024 v 08";"Antal fall 2024 v 09";"Antal fall 2024 v 10";"Antal fall 2024 v 11";"Antal fall 2024 v 12";"Antal fall 2024 v 13";"Antal fall 2024 v 14";"Antal fall 2024 v 15";"Antal fall 2024 v 16";"Antal fall 2024 v 17";"Antal fall 2024 v 18";"Antal fall 2024 v 19";"Antal fall 2024 v 20";"Antal fall 2024 v 21";"Antal fall 2024 v 22";"Antal fall 2024 v 23";"Antal fall 2024 v 24";"Antal fall 2024 v 25";"Antal fall 2024 v 26";"Antal fall 2024 v 27";"Antal fall 2024 v 28";"Antal fall 2024 v 29";"Antal fall 2024 v 30";"Antal fall 2024 v 31";"Antal fall 2024 v 32";"Antal fall 2024 v 33";"Antal fall 2024 v 34";"Antal fall 2024 v 35";"Antal fall 2024 v 36";"Antal fall 2024 v 37";"Antal fall 2024 v 38";"Antal fall 2024 v 39";"Antal fall 2024 v 40";"Antal fall 2024 v 41";"Antal fall 2024 v 42";"Antal fall 2024 v 43";"Antal fall 2024 v 44";"Antal fall 2024 v 45";"Antal fall 2024 v 46";"Antal fall 2024 v 47";"Antal fall 2024 v 48";"Antal fall 2024 v 49";"Antal fall 2024 v 50"
"0114 Upplands V?sby";0;0;0;0;0;0;0;0;0;0;1;1;13;32;34;42;27;36;32;29;20;37;20;27;35;29;29;5;5;2;6;10;1;4;2;5;3;8;9;19;14;22;26;95;143;198;174;215;191;214;218;171;148;113;75;61;72;58;64;76;99;76;101;159;129;155;164;185;122;154;166;144;75;45;23;14;5;3;10;17;3;14;12;29;32;38;36;31;36;47;23;30;42;29;36;27;25;25;21;45;68;120;164;157;235;543;840;1356;1282;770;136;68;56;60;48;23;9;12;18;10;26;10;6;3;5;7;5;10;20;9;54;45;32;18;15;19;12;16;17;16;18;10;17;135;16;11;5;4;9;7;7;7;9;19;37;39;30;19;18;3;6;3;2;3;3;4;4;3;5;4;2;10;7;4;6;3;2;5;0;1;2;1;1;1;2;0;2;0;0;3;3;7;7;4;5;3;2;4;4;8;18;14;8;12;15;13;14;16;14;5;9;4;0;1;2;2;1;2;1;4;0;0;0;0;0;0;2;1;0;2;2;2;3;4;2;1;3;3;3;4;5;5;5;3;6;5;5;4;4;6;4;1;4;1;2;3;3;6;4
"0115 Vallentuna";0;0;0;0;0;0;0;0;0;1;1;1;1;1;10;4;13;5;3;5;8;8;9;10;20;19;18;7;2;1;1;8;8;6;8;5;4;7;13;24;24;34;23;70;134;110;104;134;148;167;139;106;94;87;43;62;50;27;46;76;119;101;100;123;106;135;132;128;99;120;112;96;40;21;20;14;8;4;2;4;14;13;23;31;29;15;16;25;30;17;14;23;22;7;8;14;20;17;15;23;69;112;149;119;250;407;482;804;922;643;159;103;40;10;19;28;22;14;17;7;7;2;2;1;6;5;3;8;9;12;28;27;18;37;9;16;7;6;7;21;8;14;16;116;10;5;8;4;4;6;5;10;7;23;27;19;16;9;6;5;1;4;1;1;0;0;0;2;1;3;3;5;10;1;7;4;5;1;1;3;1;0;2;1;0;0;0;1;3;0;10;0;1;3;1;6;4;2;6;7;5;12;8;11;11;9;23;7;7;5;6;3;2;2;0;1;4;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;3;1;1;1;4;1;2;1;4;5;8;9;4;3;0;2;7;5;3;2;2;1;2;2;0;2
"0117 ?ster?ker";0;0;0;0;0;0;0;0;0;1;1;1;14;14;9;11;8;10;16;15;5;13;17;30;51;37;19;10;6;3;3;7;1;1;4;1;1;4;15;20;38;40;61;99;122;192;161;179;196;183;165;130;106;87;83;102;81;59;65;72;86;119;133;201;186;221;185;157;171;138;121;85;74;44;22;9;5;10;7;5;9;15;20;38;31;18;68;45;61;31;27;20;25;53;35;23;18;14;34;62;64;102;104;113;265;512;693;1182;1503;656;195;87;92;75;35;18;28;19;17;8;3;10;8;4;4;6;3;3;3;7;9;11;16;14;15;12;20;18;7;14;16;17;27;229;21;15;12;7;13;28;14;14;23;30;27;50;31;15;9;9;3;3;2;3;3;1;3;0;1;3;4;2;8;9;12;6;3;4;8;3;0;2;3;2;3;0;2;1;1;0;3;1;2;3;3;2;2;5;1;8;17;22;21;10;15;11;23;9;16;9;3;1;5;2;0;1;2;2;0;0;1;3;0;0;0;0;0;1;2;1;0;1;1;0;3;3;2;2;4;1;3;3;6;5;8;4;8;8;5;5;4;6;8;3;5;4;3;1;4
"0120 V?rmd?";0;0;0;0;0;0;0;0;0;1;3;3;6;3;17;17;38;42;23;21;15;23;15;28;33;24;9;3;3;5;5;3;14;3;4;1;4;6;11;18;23;18;40;90;109;150;180;172;177;164;144;101;89;90;60;54;67;92;93;117;174;161;153;109;164;151;155;152;124;149;142;85;53;24;21;3;2;1;2;9;15;24;19;36;32;25;22;30;26;16;13;6;10;12;19;19;17;17;39;67;66;93;156;171;329;625;787;1186;980;575;187;66;49;29;18;29;30;24;14;8;21;22;16;5;5;8;2;3;19;11;10;12;20;23;13;29;52;42;46;24;20;49;17;267;9;7;8;6;13;17;16;10;30;40;51;37;15;14;12;3;2;3;2;1;4;1;2;2;3;7;7;4;4;0;2;4;2;4;3;1;1;2;3;6;3;1;0;0;2;0;2;1;1;5;3;3;4;8;4;11;8;13;5;13;11;7;11;7;6;7;3;2;2;2;0;1;1;3;1;2;3;0;0;2;1;0;1;0;0;1;0;0;0;1;3;2;1;2;2;3;4;3;4;4;6;2;1;3;4;2;2;5;2;4;3;1;2;3;4
"0123 J?rf?lla";0;0;0;0;0;0;0;0;0;1;1;19;44;41;55;41;43;37;26;22;20;52;59;70;65;43;33;10;14;14;12;13;11;22;14;10;11;13;21;27;30;43;67;128;196;238;262;320;319;386;381;319;233;215;136;131;148;126;133;220;213;273;254;301;327;411;315;424;271;274;221;189;95;83;27;25;15;10;12;17;12;31;50;54;65;70;58;49;61;54;58;67;75;47;40;54;65;54;58;107;118;182;232;249;518;1176;1440;2341;1762;1133;275;97;50;48;24;41;34;24;19;23;17;22;8;10;31;8;6;31;22;30;56;45;75;40;30;39;41;17;52;21;38;35;19;171;26;14;13;23;22;22;27;16;25;35;60;62;37;27;26;14;11;13;7;1;5;6;8;5;9;5;8;12;19;8;12;9;7;6;3;4;8;4;2;10;1;3;2;0;2;6;6;8;8;5;8;4;9;6;15;20;12;25;17;23;20;26;34;23;25;13;6;8;7;4;2;0;3;2;2;1;1;2;0;2;1;2;1;2;3;4;1;3;1;1;4;3;3;3;5;8;3;4;7;10;11;13;5;8;7;14;6;8;5;9;6;5;6;4;8
"0125 Eker?";0;0;0;0;0;0;0;0;0;0;1;1;1;11;12;11;7;9;11;10;7;7;6;5;21;15;3;2;4;1;1;1;2;1;0;1;1;1;4;10;13;9;37;83;107;111;107;136;130;153;117;101;87;43;30;38;24;14;25;20;41;60;77;100;104;125;98;128;118;126;109;69;55;30;15;4;2;6;3;4;10;7;19;14;9;15;60;62;30;7;6;9;9;7;6;8;1;10;25;51;35;47;69;86;235;322;510;870;630;440;124;18;8;11;15;9;13;6;13;3;2;4;11;6;39;6;1;12;3;5;9;6;16;15;2;4;5;15;8;9;9;9;6;101;6;7;1;3;2;7;5;7;9;20;10;18;12;8;8;2;0;1;0;1;0;2;3;1;0;0;3;5;4;0;3;6;1;0;0;0;1;0;2;1;0;0;0;0;3;1;1;2;2;1;3;3;3;2;3;6;10;9;3;6;5;8;6;10;4;1;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2;2;0;1;0;1;0;0;2;1;1;2;2;4;2;1;1;1;3;4;2;2;2;2;2;2;6;4
"0126 Huddinge";0;0;0;0;0;0;0;0;0;1;1;1;34;52;51;75;95;79;77;68;62;69;81;71;91;80;37;27;19;18;9;23;15;18;13;16;8;15;65;53;68;65;124;263;379;394;581;640;607;614;498;383;274;275;155;200;204;176;248;316;410;376;413;440;542;421;504;507;389;356;313;257;168;73;65;22;26;10;17;13;28;42;54;87;106;89;87;110;141;102;74;49;43;31;46;40;67;59;64;123;165;194;297;337;706;1523;2134;3211;2525;1069;355;124;115;99;36;111;71;30;24;25;18;8;27;31;10;14;10;28;30;29;30;23;37;46;88;37;50;127;191;113;55;55;72;582;23;21;31;42;34;31;29;37;44;42;75;76;57;26;23;12;13;6;9;3;8;5;5;4;8;7;8;9;4;3;7;10;12;12;7;14;8;7;3;0;0;2;3;1;2;2;5;6;9;14;7;6;2;8;8;15;31;38;31;35;26;24;26;22;25;21;16;6;4;6;2;5;2;2;0;2;3;3;2;2;0;0;0;1;2;4;1;1;1;1;3;4;6;6;5;8;7;6;15;16;28;13;7;3;4;6;10;15;7;4;8;4;9;11;8
"0127 Botkyrka";0;0;0;0;0;0;0;0;0;0;1;1;35;55;63;97;87;75;41;53;42;59;39;75;97;69;48;16;27;12;23;24;15;14;7;9;14;18;18;35;38;48;67;142;211;283;418;485;451;501;439;339;291;266;189;151;176;153;138;195;238;262;358;377;402;387;376;362;315;339;245;180;103;46;32;22;15;6;6;12;11;34;52;67;107;105;111;97;139;124;103;86;61;67;83;78;76;102;76;123;102;186;241;256;593;1144;1682;2740;2184;775;292;77;54;53;31;42;25;15;30;7;12;20;7;13;5;6;6;7;10;19;25;27;34;36;28;39;29;39;65;44;19;26;30;390;27;18;16;14;16;28;22;30;42;54;69;59;66;35;23;20;12;10;11;8;7;6;9;4;11;5;5;2;6;14;8;7;6;4;4;2;3;2;4;3;1;1;5;5;3;4;2;9;11;8;7;4;6;10;4;8;16;30;25;34;31;23;28;22;16;17;8;4;10;7;3;5;0;2;1;0;1;0;2;1;0;0;0;2;2;3;1;1;0;0;1;1;4;1;5;5;7;11;6;7;7;9;8;6;9;8;5;7;6;2;0;8;6;6;12
"0128 Salem";0;0;0;0;0;0;0;0;0;0;0;0;1;1;10;24;14;16;12;3;4;3;8;13;12;11;7;5;1;2;2;2;1;6;1;0;2;4;4;8;8;9;9;38;60;59;93;89;80;82;71;36;48;49;26;18;10;38;18;35;38;30;34;58;69;66;49;58;68;94;72;46;19;14;8;2;1;1;7;2;3;4;8;8;23;19;15;19;13;18;5;8;5;19;18;44;31;30;14;84;33;36;51;52;86;181;283;574;409;171;56;21;7;9;5;11;7;8;3;4;3;4;1;2;0;4;0;4;2;5;5;6;7;4;6;3;5;9;13;25;4;3;7;138;14;9;4;3;4;2;3;6;8;12;11;9;10;2;4;2;2;1;1;0;0;0;1;2;2;1;0;2;4;0;4;1;1;1;1;2;0;1;0;2;0;0;0;0;0;1;3;0;3;0;2;0;0;0;1;1;5;4;10;9;10;3;6;3;6;7;1;2;1;1;2;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;2;0;1;2;0;3;6;0;1;0;0;1;1;2;1;2;0;1;2;1;0
"0136 Haninge";0;0;0;0;0;0;0;0;0;1;1;1;26;41;40;61;63;46;56;53;32;61;43;33;57;59;28;15;14;9;16;14;11;5;10;11;7;25;36;47;48;36;76;184;265;328;379;367;398;488;436;267;257;272;144;106;112;131;173;246;279;265;286;387;376;447;405;384;322;368;300;199;110;37;56;36;7;9;19;11;15;28;36;80;91;83;68;71;72;62;47;64;52;72;80;91;99;88;66;135;155;223;267;295;642;1240;1611;2727;2115;876;392;96;57;57;32;43;122;72;27;15;10;9;7;25;79;20;19;26;17;96;47;25;67;37;46;40;78;62;77;48;33;59;51;494;31;23;19;24;24;18;28;26;47;58;79;86;59;40;21;7;12;7;8;4;3;3;5;3;1;1;4;14;10;11;8;10;5;5;4;7;5;3;2;0;1;4;3;0;6;1;7;7;8;6;11;3;5;6;17;12;18;21;25;30;21;30;38;19;15;18;6;1;10;3;3;2;2;0;1;1;0;2;1;0;0;1;8;7;1;2;2;2;1;2;1;1;3;1;7;6;0;4;10;5;12;6;5;6;9;4;5;4;4;7;8;1;7;12;14
